English,Russian
airport,аэропорт
jobs,рабочие места
grown,вырос
walter,Уолтер
rachel,Рэйчел
giant,гигант
insurance,страхование
woods,леса
n,не
scare,напугать
pleased,довольный
period,период
political,политический
player,игрок
stops,останавливается
secrets,секреты
laura,Лаура
repeat,повторение
photos,фото
finds,Находит
statement,утверждение
suck,сосать
younger,моложе
china,Китай
humans,люди
delicious,вкусно
particular,частности
proper,правильный
rome,Рим
belongs,принадлежит
attacked,атаковал
bath,ванна
hired,наемный
site,сайт
knowledge,знания
b,беременный
led,вел
guests,гости
celebrate,праздновать
map,карта
horn,рог
eventually,в конце концов
pity,жалость
powers,полномочия
ashamed,стыдящийся
assume,предполагать
glasses,очки
rise,подниматься
fixed,исправлено
request,запрос
officers,офицеры
pounds,фунты
data,данные
carefully,внимательно
per,перемещение
depends,смотря как
jury,жюри
waited,ждал
positive,положительный
attorney,адвокат
direction,направление
families,семьи
clock,Часы
doin,Доин
forces,силы
location,место нахождения
walls,стены
useless,бесполезный
grant,грант
saving,сохранение
speaks,говорит
fought,дрался
meal,еда
deliver,доставлять
answers,ответы
changing,изменение
temple,храм
scary,страшный
millions,миллионы
offered,предложенный
regular,обычный
carrying,ношение
official,чиновник
jacket,куртка
switch,выключатель
grave,могила
chase,гнаться
role,роль
odd,странный
sexy,сексуальный
faces,лица
becomes,становится
closes,закрывается
badly,плохо
tall,высокий
confused,смущенный
affair,роман
television,телевидение
shock,шок
raised,поднятый
panting,задыхаясь
pizza,пицца
image,изображение
clears,очистки
golden,золотой
patients,пациент
watched,смотрели
committed,преданный идее
sexual,сексуальный
suffer,страдать
arthur,Артур
wherever,где бы
plate,пластина
appear,появляться
chocolate,шоколад
clever,умная
hm,хм
mercy,милосердие
shots,выстрелы
lucy,Люси
dealing,сделка
trap,ловушка
charges,обвинения
phil,Фил
bang,хлопнуть
poison,яд
butt,приклад
drove,проехать
yourselves,сами
headed,во главе
babies,младенцы
yellow,желтый
soup,суп
mystery,тайна
picking,выбор
sat,Суббота
wound,ранить
traffic,движение
courage,храбрость
hunt,охотиться
indian,индийский
rat,крыса
terms,сроки
italian,Итальянский
emma,Эмма
checking,Проверка
disease,болезнь
managed,удалось
winner,Победитель
council,Совет
appointment,"деловое свидание, встреча"
monday,понедельник
crack,трескаться
threat,угроза
jenny,Дженни
physical,физический
nation,нация
source,источник
chose,выбрал
healthy,здоровый
carl,карл
victory,Победа
rick,рик
stood,стоял
kicked,ударил
annie,Энни
disgusting,отвратительный
palace,дворец
below,ниже
shopping,поход по магазинам
neighborhood,район
march,марш
lips,губы
midnight,полночь
piss,мочи
advantage,преимущество
pure,чистый
india,Индия
aside,в сторону
jerk,придурок
mail,почта
dawn,рассвет
effect,эффект
spell,заклинание
freak,ненормальный
wood,древесина
screwed,привинченный
enemies,враги
gary,Гари
awake,бодрствующий
chuckling,посмеиваясь
vacation,отпуск
violence,насилие
leo,Лео
grandmother,бабушка
modern,современное
luke,Люк
firm,фирма
prime,основной
heh,хех
touched,тронут
talent,талант
whore,шлюха
piano,пианино
license,лицензия
cooking,приготовление еды
honour,честь
concern,беспокойство
moves,Двигается
available,доступный
factory,фабрика
gods,боги
value,ценить
central,центральный
union,союз
mirror,зеркало
studio,студия
media,средства массовой информации
taxi,такси
dies,умирает
iron,железо
hearts,сердца
desire,желание
rob,ограбление
claire,Клэр
fred,Фред
songs,песни
washington,Вашингтон
monkey,обезьяна
pride,гордость
pills,таблетки
miracle,чудо
swim,плавать
burned,сгорел
smells,запах
joking,шутка
christian,христианский
bleeding,кровотечение
hook,крюк
beating,избиение
protection,защита
treatment,лечение
ear,ухо
carter,Картер
metal,металл
disappear,пропадать
grateful,благодарный
extremely,очень сильно
treasure,сокровище
rescue,спасать
capable,способный
passing,прохождение
chatter,болтовня
result,результат
suffering,страдания
sisters,сестры
laid,проложенный
governor,губернатор
guards,охранники
louis,Луис
text,текст
literally,буквально
remove,Удалить
becoming,становится
performance,спектакль
stronger,сильнее
rate,показатель
deeply,глубоко
scream,крик
desert,пустыня
vehicle,транспортное средство
illegal,нелегальный
pulling,вытягивание
throwing,бросание
josh,Джош
unbelievable,невероятный
ted,Тед
zero,нуль
dean,декан
curious,любопытный
sean,Шон
candy,конфеты
bone,кость
tied,связанный
edge,край
load,нагрузка
susan,Сьюзен
ahh,ах
mountains,горы
boom,бум
former,бывший
holiday,день отдыха
riding,езда
scoffs,смешивается
hundreds,сотни
motherfucker,ублюдок
sue,Сью
bags,мешки
stealing,кража
appears,появляется
arrive,прибыть
remains,останки
decent,приличный
issues,вопросы
tip,кончик
fail,провал
bride,невеста
pissed,разозлился
penny,пенни
claim,требовать
friendship,дружба
desperate,отчаянный
flower,цветок
dramatic,драматический
refuse,мусор
solve,решить
theme,тема
loving,любящий
properly,правильно
dragon,Дракон
mostly,главным образом
chuck,патрон
directly,напрямую
surface,поверхность
FALSE,ЛОЖНЫЙ
cast,В ролях
junior,младший
hunting,охота
silent,тихий
thou,ты
egg,яйцо
germany,Германия
punch,ударить кулаком
africa,Африка
woke,проснулся
intelligence,интеллект
borrow,одолжить
winning,победа
falls,водопад
popular,популярный
escaped,сбежал
witch,ведьма
convinced,убежденный
warn,предупреждать
announcer,диктор
champagne,шампанское
dust,пыль
kyle,Кайл
someday,когда -нибудь
fallen,упал
stranger,незнакомец
presence,присутствие
tear,рвать
st.,ул.
internet,Интернет
monsieur,месье
therefore,следовательно
technology,технология
tires,шины
toast,тост
wise,мудрый
clark,Кларк
americans,американцы
notes,ноты
smoking,курить
april,апреля
wolf,волк
precious,драгоценный
rooms,номера
coast,берег
treated,обрабатывали
material,материал
released,вышел
uniform,униформа
hated,ненавистный
considered,обдуманный
rice,рис
exchange,обмен
steps,шаги
blake,Блейк
convince,убеждать
beast,зверь
cow,корова
files,файлы
signs,знаки
drag,тяга
cab,такси
hung,висела
carried,унесенный
ordinary,обычный
successful,успешный
eve,канун
mistakes,ошибки
houses,дома
chattering,болтовня
brains,мозги
japan,Япония
creature,существо
fourth,четвертый
separate,отдельный
cleaning,уборка
california,Калифорния
lf,LF
ll,LL
shift,сдвиг
elizabeth,Элизабет
chicago,Чикаго
exact,точный
karen,Карен
goal,Цель
expert,эксперт
served,служил
direct,непосредственный
score,счет
row,ряд
marks,Метки
twenty,двадцать
receive,получать
series,ряд
section,раздел
pilot,пилот
jackson,Джексон
darkness,тьма
thy,Твой
sale,распродажа
destiny,судьба
cure,излечивать
spoken,разговорный
armed,вооруженный
rare,редкий
helen,Хелен
grade,оценка
juice,сок
wide,широкий
tower,башня
solution,решение
schedule,расписание
explosion,взрыв
wheel,рулевое колесо
cigarette,сигарета
julie,Джули
fruit,фрукты
blew,дул
victor,Виктор
talks,разговоры
sacrifice,жертва
range,диапазон
button,кнопка
reports,Отчеты
prisoner,в плену
pie,пирог
effort,усилие
youth,молодежь
pot,горшок
eaten,съеденный
taylor,Тейлор
knees,колени
garage,гараж
parking,стоянка
ambulance,скорая помощь
staring,уставившись
chances,шансы
circumstances,обстоятельства
sin,грех
gordon,Гордон
progress,прогресс
unusual,необычный
county,округ
stairs,лестница
campaign,кампания
mon,пн
vision,зрение
reporter,репортер
equipment,оборудование
moments,моменты
joey,Джои
mass,масса
alien,чужак
trapped,в ловушке
helps,помогает
route,маршрут
defend,защищать
trace,след
nasty,противный
tests,тесты
magazine,журнал
rocks,горные породы
dump,свалка
rude,грубый
searching,идет поиск
clue,зацепка
connected,связано
amen,аминь
pushed,толкнулся
merry,веселый
zone,зона
senior,старшая
closing,закрытие
freeze,заморозить
emperor,Император
incident,инцидент
snake,змея
mexico,Мексика
lily,Лили
actor,актер
newspaper,газета
sentence,приговор
greg,Грег
leading,ведущий
friendly,дружелюбно
jones,Джонс
chosen,Выбранный
engaged,увлеченный
julia,Юлия
charming,очаровательный
mustn,должен
anger,злость
spending,расходы
learning,обучение
spy,шпион
sharp,острый
shadow,тень
warrant,ордер
elevator,лифт
kingdom,Королевство
ricky,Рикки
jamie,Джейми
squad,отряд
shoulder,плечо
wave,волна
amanda,Аманда
highness,Высочество
kinds,виды
fishing,рыбная ловля
sometime,когда-то
attitude,отношение
sucks,отстой
negative,отрицательный
screen,экран
workers,работники
bored,скучающий
cameras,камеры
similar,аналогичный
understanding,понимание
beeps,звуковые сигналы
chain,цепь
bull,бык
gasping,задыхаясь
fully,в полной мере
robin,Робин
collect,собирать
gorgeous,безумно красивая
morgan,Морган
passion,страсть
writer,писатель
empire,Империя
international,Международный
curse,проклинать
hire,прокат
bastards,ублюдки
puts,путы
leads,лидеры
id,я бы
blows,удары
sons,сыновья
estate,имущество
customers,клиенты
maggie,Мэгги
gunshot,выстрел
i-,я-
device,устройство
troops,войска
hug,обнимать
design,дизайн
movement,движение
thunder,гром
object,объект
loser,неудачник
pen,ручка
sobbing,рыдать
politics,политика
despite,несмотря
alcohol,алкоголь
climb,взбираться
clients,клиенты
conference,конференция
provide,предоставлять
marty,Марти
seek,искать
witnesses,свидетели
earn,зарабатывать
trash,мусор
valley,долина
fashion,мода
howard,Говард
episode,эпизод
prize,приз
previously,ранее
sports,спортивный
wanting,желание
debt,долг
wishes,пожелания
hitler,Гитлер
wire,провод
thee,Тебе
circle,круг
approach,подход
stock,запас
facts,факты
remembered,вспомнил
percent,процентов
normally,обычно
tail,хвост
joined,присоединился
education,образование
bravo,Браво
library,библиотека
rape,изнасилование
wings,крылья
growling,рычание
thrown,брошен
tank,бак
exhales,выдыхает
authority,власть
current,ток
failure,отказ
nightmare,кошмар
hitting,удар
glory,слава
knocked,сбитый
studying,изучение
barry,Барри
agency,агентство
apple,яблоко
border,граница
rope,веревка
duck,утка
reputation,репутация
confidence,уверенность
yard,площадка
beloved,возлюбленный
lack,недостаток
actual,действительный
skills,навыки
films,Фильмы
mental,психический
salt,поваренная соль
flesh,плоть
anne,Энн
secure,безопасный
highly,очень
federal,федеральный
sand,песок
emotional,эмоциональный
setting,параметр
nothin,ничего
senator,сенатор
services,Сервисы
robbery,ограбление
hates,ненавидит
fed,кормили
reward,вознаграждение
theater,театр
johnson,Джонсон
commit,совершить
patrick,Патрик
entirely,полностью
extraordinary,необычайно
ships,Корабли
opposite,противоположный
parties,стороны
stands,подставка
terry,Терри
chat,чат
events,События
mummy,мумия
bay,залив
slip,соскальзывать
disappointed,расстроенный
settled,урегулировано
begins,начинается
andrew,Эндрю
alert,тревога
detail,деталь
pink,розовый
fellas,ребята
accepted,принято
background,задний план
garbage,мусор
panic,паника
minds,умы
belt,пояс
blowing,дует
hollywood,Голливуд
agreement,соглашение
jackie,Джеки
pushing,толчок
ability,способность
tiger,тигр
whispering,шепот
culture,культура
saint,Святой
jesse,Джесси
task,задача
solid,твердый
doll,кукла
intend,намереваться
district,округ
custody,под стражей
ignore,игнорировать
naturally,естественно
useful,полезный
attempt,пытаться
abandoned,заброшенный
cutting,резка
kissed,поцеловано
guarantee,гарантия
barking,лай
gather,собирать
policy,политика
u.s.,нас.
violent,жестокий
maid,служанка
embarrassing,смущающий
childhood,детство
wasting,впустую
bow,поклон
chick,птенца
sara,Сара
disaster,катастрофа
revolution,революция
online,онлайн
f,фланг
demon,демон
heavily,тяжело
coincidence,совпадение
perform,выполнять
thin,тонкий
terrific,потрясающий
mac,маки
crown,корона
identity,личность
virgin,девственник
impressive,впечатляющий
windows,окна
no-one,ни один. Никто
potential,потенциал
guitar,гитара
committee,комитет
dozen,дюжина
delivery,Доставка
advance,продвигать
quietly,тихо
stan,Стэн
teaching,преподавание
hunter,Охотник
latest,последний
hurting,причинять боль
swing,качать
capital,капитал
counting,считает
drew,нарисовался
dirt,грязь
whistle,свист
marie,Мари
hits,хиты
doug,Даг
deny,отказываться от
urgent,срочный
threatened,под угрозой
behavior,поведение
molly,Молли
mixed,смешанный
stays,остается
assure,гарантировать
subtitles,субтитры
explanation,объяснение
wins,выигрывает
unique,уникальный
chasing,погоня
billion,миллиард
duke,герцог
production,производство
slave,раб
agents,агенты
carol,Кэрол
lets,Давайте
cruel,жестокий
mask,маска
sally,Салли
behave,вести себя
bury,хоронить
massive,массивный
pathetic,жалкий
species,разновидность
approaching,приближается
jo,Джо
loan,заем
struggle,борьба
dish,блюдо
trusted,Доверенный
jumped,прыгнул
firing,увольнение
channel,канал
abby,Эбби
stopping,остановка
asks,спрашивает
jean,Джин
swimming,плавание
daily,ежедневно
basement,подвал
linda,Линда
quarter,четверть
erm,торм
bound,граница
navy,военно-морской
article,статья
guide,гид
accused,обвиняемый
transfer,перевод
guts,кишки
quality,качество
fella,парня
roman,Роман
greater,больше
damned,треклятый
couch,диван
cheer,радость
vegas,Вегас
shoe,обувь
title,заглавие
shy,застенчивый
punishment,наказание
los,Лос -
clicks,клики
you,ты
closet,шкаф
bye-bye,пока-пока
fever,жар
coward,трусливый
flash,вспышка
impressed,впечатленный
bruce,Брюс
siren,сирена
prisoners,заключенные
sides,боки
bowl,миска
katie,Кэти
supply,поставлять
sensitive,чувствительный
hopefully,с надеждой
rolling,прокатывание
roy,Рой
dollar,доллар
tone,тон
voices,голоса
g,грамм
i,я
cheating,списывание
confess,признаваться
demand,требовать
museum,музей
unknown,неизвестный
drama,драма
suspicious,подозрительный
adult,взрослый
todd,Тодд
frightened,испуганный
warned,предупреждают
steady,устойчивый
kills,убийство
crossed,пересеканный
lou,Лу
particularly,особенно
sandwich,сэндвич
laws,законы
joint,соединение
bullets,пуль
package,упаковка
trained,обучен
thursday,Четверг
boots,сапоги
possibility,возможность
albert,Альберт
civil,гражданский
june,июнь
germans,немцы
baseball,бейсбол
express,выражать
miserable,убогий
tuesday,вторник
parker,Паркер
lion,лев
joseph,Джозеф
refused,отказалась
shine,светить
assault,атаковать
hong,Хонг
jokes,шутки
breaks,перерывы
argue,спорить
you-,ты-
trail,тащить
option,вариант
recall,отзывать
mighty,могущественный
collection,коллекция
oliver,Оливер
wilson,Уилсон
accent,акцент
believes,верит
decisions,решения
embarrassed,смущенный
mobile,мобильный
customer,покупатель
terribly,ужасно
sec,раздел
charity,благотворительность
considering,учитывая
pussy,киска
donna,Донна
protecting,защита
flag,флаг
kidnapped,похищен
italy,Италия
balance,баланс
creatures,существа
nuclear,ядерный
wallet,бумажник
shout,кричать
vincent,Винсент
entered,вошел
impression,впечатление
angela,Анжела
jay,джая
degrees,градусы
favour,услуга
reaction,реакция
network,сеть
jessica,Джессика
version,версия
concert,концерт
gear,механизм
singer,певец
diamond,бриллиант
defeat,поражение
steven,Стивен
lane,переулок
blast,взрыв
wounded,ранен
anytime,в любой момент
partners,партнеры
ages,возраст
charlotte,Шарлотта
ceremony,церемония
league,лига
bars,бары
orange,апельсин
specific,конкретный
conditions,условия
plastic,пластик
crisis,кризис
fifth,Пятый
term,срок
self,себя
offering,предложение
bud,бутон
suffered,пострадал
reported,сообщается
commissioner,комиссар
rip,рвать
mysterious,загадочный
entrance,вход
messed,испорченный
tunnel,туннель
designed,спроектирован
neighbor,сосед
aboard,на борту
sweat,пот
justin,Джастин
ghosts,призраки
crimes,преступления
costs,расходы
deserves,заслуживает
dreaming,сновидение
bust,бюст
el,эль
teddy,Тедди
kong,Конг
messages,Сообщения
enjoying,наслаждаясь
afterwards,после
comfort,комфорт
mason,масон
surrender,сдаваться
gym,спортзал
kitty,Китти
crush,раздавить
yup,ага
arranged,согласованный
suits,костюмы
pee,моча
stress,стресс
cave,пещера
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
